Date,Open,High,Low,Close,Adj Close,Volume
2021-07-02,6.4676,6.4838,6.4635,6.4676,6.4676,0.0
2021-07-05,6.4721,6.4721,6.4545,6.4721,6.4721,0.0
2021-07-06,6.4628,6.4782,6.4527,6.4628,6.4628,0.0
2021-07-07,6.4783,6.4791,6.4554,6.4781,6.4781,0.0
2021-07-08,6.4715,6.4898,6.4685,6.4715,6.4715,0.0
2021-07-09,6.4891,6.4895,6.4695,6.4891,6.4891,0.0
2021-07-12,6.478,6.478,6.4639,6.478,6.478,0.0
2021-07-13,6.4746,6.4746,6.4532,6.4746,6.4746,0.0
2021-07-14,6.4675,6.476,6.4485,6.4675,6.4675,0.0
2021-07-15,6.4681,6.4687,6.4507,6.4683,6.4683,0.0
2021-07-16,6.4599,6.4785,6.4564,6.4601,6.4601,0.0
2021-07-19,6.4782,6.4902,6.4766,6.4782,6.4782,0.0
2021-07-20,6.4894,6.4895,6.4727,6.4894,6.4894,0.0
2021-07-21,6.4839,6.4844,6.4611,6.4839,6.4839,0.0
2021-07-22,6.467,6.4697,6.4557,6.467,6.467,0.0
2021-07-23,6.4697,6.4806,6.4616,6.4697,6.4697,0.0
2021-07-26,6.4804,6.4863,6.4729,6.4804,6.4804,0.0
2021-07-27,6.4817,6.5105,6.4733,6.4817,6.4817,0.0
2021-07-28,6.5097,6.5103,6.4874,6.5097,6.5097,0.0
2021-07-29,6.4894,6.4899,6.4464,6.4894,6.4894,0.0
2021-07-30,6.4553,6.4666,6.4432,6.4553,6.4553,0.0
2021-08-02,6.4605,6.4675,6.451,6.4605,6.4605,0.0
2021-08-03,6.4612,6.4694,6.4534,6.461,6.461,0.0
2021-08-04,6.4692,6.4694,6.4498,6.4692,6.4692,0.0
2021-08-05,6.4652,6.4658,6.452,6.4652,6.4652,0.0
2021-08-06,6.4603,6.4833,6.4603,6.4603,6.4603,0.0
2021-08-09,6.4825,6.4869,6.4678,6.4825,6.4825,0.0
2021-08-10,6.4852,6.4855,6.4692,6.4852,6.4852,0.0
2021-08-11,6.4848,6.4873,6.4709,6.4849,6.4849,0.0
2021-08-12,6.4782,6.4797,6.4657,6.4782,6.4782,0.0
2021-08-13,6.4784,6.4822,6.4666,6.4783,6.4783,0.0
2021-08-16,6.4764,6.4792,6.4727,6.4764,6.4764,0.0
2021-08-17,6.4736,6.4861,6.4675,6.4736,6.4736,0.0
2021-08-18,6.4851,6.4853,6.471,6.4851,6.4851,0.0
2021-08-19,6.4832,6.4974,6.4828,6.4832,6.4832,0.0
2021-08-20,6.4937,6.5031,6.4894,6.4937,6.4937,0.0
2021-08-23,6.4916,6.4954,6.4715,6.4916,6.4916,0.0
2021-08-24,6.48,6.4832,6.4686,6.48,6.48,0.0
2021-08-25,6.4699,6.4783,6.4675,6.4699,6.4699,0.0
2021-08-26,6.4749,6.4856,6.4725,6.4749,6.4749,0.0
2021-08-27,6.4805,6.4867,6.4694,6.4805,6.4805,0.0
2021-08-30,6.4708,6.4708,6.4577,6.4708,6.4708,0.0
2021-08-31,6.4651,6.4709,6.4508,6.4651,6.4651,0.0
2021-09-01,6.4596,6.468,6.4544,6.4596,6.4596,0.0
2021-09-02,6.4589,6.4623,6.4462,6.459,6.459,0.0
2021-09-03,6.4554,6.4601,6.4327,6.4554,6.4554,0.0
2021-09-06,6.4519,6.4585,6.4474,6.4519,6.4519,0.0
2021-09-07,6.4567,6.4661,6.4456,6.4567,6.4567,0.0
2021-09-08,6.4655,6.4656,6.4511,6.4655,6.4655,0.0
2021-09-09,6.4607,6.4622,6.445,6.4607,6.4607,0.0
2021-09-10,6.4543,6.456,6.4271,6.4543,6.4543,0.0
2021-09-13,6.4434,6.4563,6.4433,6.4434,6.4434,0.0
2021-09-14,6.4508,6.451,6.4369,6.4508,6.4508,0.0
2021-09-15,6.4383,6.4433,6.4275,6.4383,6.4383,0.0
2021-09-16,6.4314,6.4568,6.4297,6.4314,6.4314,0.0
2021-09-17,6.4566,6.4679,6.4406,6.4566,6.4566,0.0
2021-09-20,6.4652,6.4658,6.464,6.4652,6.4652,0.0
2021-09-21,6.465,6.4665,6.465,6.465,6.465,0.0
2021-09-22,6.466,6.4723,6.4558,6.466,6.466,0.0
2021-09-23,6.4608,6.4688,6.4435,6.4608,6.4608,0.0
2021-09-24,6.4579,6.4686,6.4559,6.4579,6.4579,0.0
2021-09-27,6.4657,6.4657,6.4494,6.4657,6.4657,0.0
2021-09-28,6.456,6.4611,6.4492,6.456,6.456,0.0
2021-09-29,6.459,6.4703,6.4541,6.459,6.459,0.0
2021-09-30,6.4696,6.4733,6.4367,6.4696,6.4696,0.0
2021-10-01,6.4455,6.4459,6.4453,6.4455,6.4455,0.0
2021-10-04,6.4457,6.4457,6.4452,6.4457,6.4457,0.0
2021-10-05,6.4452,6.4452,6.4452,6.4452,6.4452,0.0
2021-10-06,6.4452,6.4452,6.4452,6.4452,6.4452,0.0
2021-10-07,6.4452,6.4457,6.4452,6.4452,6.4452,0.0
2021-10-08,6.4452,6.4504,6.4307,6.4452,6.4452,0.0
2021-10-11,6.4423,6.4497,6.4252,6.4423,6.4423,0.0
2021-10-12,6.4496,6.457,6.4393,6.4496,6.4496,0.0
2021-10-13,6.448,6.4502,6.4261,6.448,6.448,0.0
2021-10-14,6.4266,6.439,6.4266,6.4266,6.4266,0.0
2021-10-15,6.439,6.4395,6.4202,6.439,6.439,0.0
2021-10-18,6.4348,6.4383,6.4205,6.4348,6.4348,0.0
2021-10-19,6.4289,6.4289,6.3717,6.4289,6.4289,0.0
2021-10-20,6.3818,6.3965,6.3811,6.3818,6.3818,0.0
2021-10-21,6.3929,6.4012,6.3864,6.3929,6.3929,0.0
2021-10-22,6.3918,6.3998,6.375,6.3918,6.3918,0.0
2021-10-25,6.3839,6.3906,6.3731,6.3839,6.3839,0.0
2021-10-26,6.3847,6.3852,6.3709,6.3847,6.3847,0.0
2021-10-27,6.3815,6.3956,6.3747,6.3815,6.3815,0.0
2021-10-28,6.3916,6.4038,6.3871,6.3916,6.3916,0.0
2021-10-29,6.3904,6.4068,6.3817,6.3904,6.3904,0.0
2021-11-01,6.4048,6.4059,6.3868,6.4047,6.4047,0.0
2021-11-02,6.3962,6.4005,6.3885,6.3962,6.3962,0.0
2021-11-03,6.3989,6.4057,6.3856,6.3989,6.3989,0.0
2021-11-04,6.4062,6.4063,6.3907,6.4062,6.4062,0.0
2021-11-05,6.3964,6.4032,6.3908,6.3964,6.3964,0.0
2021-11-08,6.3979,6.399,6.3827,6.3979,6.3979,0.0
2021-11-09,6.3916,6.396,6.3796,6.3916,6.3916,0.0
2021-11-10,6.3917,6.3937,6.3812,6.3917,6.3917,0.0
2021-11-11,6.3881,6.4068,6.3878,6.3881,6.3881,0.0
2021-11-12,6.3895,6.3961,6.3713,6.3895,6.3895,0.0
2021-11-15,6.3787,6.3841,6.3777,6.3786,6.3786,0.0
2021-11-16,6.3821,6.3954,6.366,6.3821,6.3821,0.0
2021-11-17,6.3911,6.3924,6.3658,6.3911,6.3911,0.0
2021-11-18,6.3769,6.3869,6.3744,6.3769,6.3769,0.0
2021-11-19,6.385,6.3897,6.3743,6.385,6.385,0.0
2021-11-22,6.3862,6.3886,6.3698,6.3862,6.3862,0.0
2021-11-23,6.3843,6.3924,6.3789,6.3843,6.3843,0.0
2021-11-24,6.3908,6.392,6.3769,6.3908,6.3908,0.0
2021-11-25,6.3918,6.392,6.3767,6.3918,6.3918,0.0
2021-11-26,6.386,6.3927,6.3789,6.386,6.386,0.0
2021-11-29,6.392,6.392,6.3758,6.392,6.392,0.0
2021-11-30,6.387,6.3878,6.3608,6.387,6.387,0.0
2021-12-01,6.3632,6.371,6.3565,6.3632,6.3632,0.0
2021-12-02,6.3673,6.377,6.3593,6.3673,6.3673,0.0
2021-12-03,6.3756,6.3765,6.3608,6.3756,6.3756,0.0
2021-12-06,6.3754,6.3778,6.3618,6.3753,6.3753,0.0
2021-12-07,6.3748,6.3753,6.3557,6.3748,6.3748,0.0
2021-12-08,6.3663,6.3664,6.3382,6.3663,6.3663,0.0
2021-12-09,6.3437,6.3774,6.3337,6.3437,6.3437,0.0
2021-12-10,6.3765,6.3825,6.3573,6.3765,6.3765,0.0
2021-12-13,6.36,6.366,6.3537,6.36,6.36,0.0
2021-12-14,6.3655,6.3681,6.3529,6.3655,6.3655,0.0
2021-12-15,6.3665,6.3671,6.3542,6.3665,6.3665,0.0
2021-12-16,6.3665,6.3683,6.3563,6.3665,6.3665,0.0
2021-12-17,6.3672,6.3816,6.3586,6.3672,6.3672,0.0
2021-12-20,6.3744,6.3791,6.3664,6.374,6.374,0.0
2021-12-21,6.3746,6.3751,6.3616,6.3746,6.3746,0.0
2021-12-22,6.3706,6.3726,6.3599,6.3706,6.3706,0.0
2021-12-23,6.3691,6.3706,6.3601,6.3691,6.3691,0.0
2021-12-24,6.3688,6.3703,6.3597,6.3688,6.3688,0.0
2021-12-27,6.3666,6.3722,6.3613,6.3666,6.3666,0.0
2021-12-28,6.3698,6.3715,6.3608,6.3698,6.3698,0.0
2021-12-29,6.3672,6.3714,6.3584,6.3672,6.3672,0.0
2021-12-30,6.3673,6.3775,6.3587,6.3673,6.3673,0.0
2021-12-31,6.3721,6.3775,6.3397,6.3721,6.3721,0.0
2022-01-03,6.3549,6.3549,6.3548,6.3549,6.3549,0.0
2022-01-04,6.3551,6.3551,6.3531,6.3551,6.3551,0.0
2022-01-05,6.354,6.3634,6.3521,6.3543,6.3543,0.0
2022-01-06,6.354,6.3826,6.354,6.354,6.354,0.0
2022-01-07,6.3819,6.3821,6.3674,6.3819,6.3819,0.0
2022-01-10,6.3768,6.3768,6.3624,6.3762,6.3762,0.0
2022-01-11,6.3739,6.3752,6.3608,6.3739,6.3739,0.0
2022-01-12,6.3729,6.373,6.3552,6.3729,6.3729,0.0
2022-01-13,6.3576,6.3628,6.3474,6.3576,6.3576,0.0
2022-01-14,6.3581,6.3605,6.3339,6.3581,6.3581,0.0
2022-01-17,6.3518,6.3565,6.3373,6.3515,6.3515,0.0
2022-01-18,6.3467,6.3531,6.3354,6.3467,6.3467,0.0
2022-01-19,6.3522,6.3544,6.3345,6.3522,6.3522,0.0
2022-01-20,6.3435,6.3453,6.334,6.3435,6.3435,0.0
2022-01-21,6.3395,6.3433,6.3283,6.3395,6.3395,0.0
2022-01-24,6.338,6.338,6.3186,6.3377,6.3377,0.0
2022-01-25,6.3298,6.3304,6.3169,6.3298,6.3298,0.0
2022-01-26,6.3265,6.3265,6.3109,6.3265,6.3265,0.0
2022-01-27,6.3196,6.3678,6.3195,6.3196,6.3196,0.0
2022-01-28,6.3669,6.3669,6.3469,6.3669,6.3669,0.0
2022-01-31,6.36,6.36,6.3595,6.351,6.351,0.0
2022-02-01,6.3595,6.36,6.3595,6.3595,6.3595,0.0
2022-02-02,6.3595,6.3595,6.3595,6.3595,6.3595,0.0
2022-02-03,6.3595,6.36,6.3595,6.3595,6.3595,0.0
2022-02-04,6.3595,6.3595,6.3595,6.3595,6.3595,0.0
2022-02-07,6.3317,6.3518,6.3317,6.3595,6.3595,0.0
2022-02-08,6.3523,6.3705,6.3488,6.3523,6.3523,0.0
2022-02-09,6.3657,6.3657,6.351,6.3657,6.3657,0.0
2022-02-10,6.3614,6.3619,6.3441,6.3614,6.3614,0.0
2022-02-11,6.3526,6.3647,6.3445,6.3526,6.3526,0.0
2022-02-14,6.3536,6.362,6.3454,6.3531,6.3531,0.0
2022-02-15,6.3559,6.3566,6.3286,6.3559,6.3559,0.0
2022-02-16,6.338,6.3405,6.3332,6.338,6.338,0.0
2022-02-17,6.3356,6.3382,6.3211,6.3356,6.3356,0.0
2022-02-18,6.3358,6.3374,6.3161,6.3358,6.3358,0.0
2022-02-21,6.3246,6.3355,6.321,6.3242,6.3242,0.0
2022-02-22,6.3342,6.3501,6.314,6.3342,6.3342,0.0
2022-02-23,6.3253,6.33,6.3039,6.3253,6.3253,0.0
2022-02-24,6.3123,6.3298,6.3052,6.3123,6.3123,0.0
2022-02-25,6.3268,6.3268,6.3039,6.3268,6.3268,0.0
2022-02-28,6.3165,6.3181,6.2992,6.316,6.316,0.0
2022-03-01,6.3084,6.3135,6.3014,6.3084,6.3084,0.0
2022-03-02,6.3115,6.3215,6.3023,6.3115,6.3115,0.0
2022-03-03,6.3196,6.3201,6.3078,6.3196,6.3196,0.0
2022-03-04,6.3193,6.3206,6.3057,6.3192,6.3192,0.0
2022-03-07,6.319,6.3246,6.3091,6.3167,6.3167,0.0
2022-03-08,6.3193,6.3201,6.3038,6.3193,6.3193,0.0
2022-03-09,6.3176,6.3252,6.3047,6.3176,6.3176,0.0
2022-03-10,6.3166,6.3233,6.3084,6.3166,6.3166,0.0
2022-03-11,6.3208,6.3388,6.3112,6.3208,6.3208,0.0
2022-03-14,6.3387,6.3645,6.3387,6.3387,6.3387,0.0
2022-03-15,6.3646,6.3835,6.3643,6.3645,6.3645,0.0
2022-03-16,6.3691,6.3699,6.3386,6.3691,6.3691,0.0
2022-03-17,6.3512,6.3516,6.3361,6.3512,6.3512,0.0
2022-03-18,6.3455,6.3659,6.3455,6.3455,6.3455,0.0
2022-03-21,6.3602,6.3652,6.3434,6.3602,6.3602,0.0
2022-03-22,6.3545,6.3657,6.3499,6.3545,6.3545,0.0
2022-03-23,6.3653,6.3754,6.3585,6.3653,6.3653,0.0
2022-03-24,6.3713,6.3764,6.3596,6.3713,6.3713,0.0
2022-03-25,6.3663,6.3671,6.3514,6.3663,6.3663,0.0
2022-03-28,6.3652,6.3802,6.3591,6.3652,6.3652,0.0
2022-03-29,6.3707,6.3724,6.3542,6.3707,6.3707,0.0
2022-03-30,6.3631,6.3632,6.3402,6.3631,6.3631,0.0
2022-03-31,6.3462,6.3526,6.3332,6.3462,6.3462,0.0
2022-04-01,6.3389,6.3633,6.3389,6.3389,6.3389,0.0
2022-04-04,6.3621,6.3625,6.362,6.3621,6.3621,0.0
2022-04-05,6.3624,6.3628,6.362,6.3624,6.3624,0.0
2022-04-06,6.3631,6.3747,6.3526,6.3631,6.3631,0.0
2022-04-07,6.3585,6.3633,6.3508,6.3585,6.3585,0.0
2022-04-08,6.3597,6.366,6.3493,6.3597,6.3597,0.0
2022-04-11,6.364,6.3741,6.3599,6.364,6.364,0.0
2022-04-12,6.3687,6.3731,6.3571,6.3687,6.3687,0.0
2022-04-13,6.365,6.3697,6.3564,6.365,6.365,0.0
2022-04-14,6.3672,6.3794,6.3563,6.3672,6.3672,0.0
2022-04-15,6.3774,6.3774,6.3679,6.3774,6.3774,0.0
2022-04-18,6.3702,6.3737,6.3634,6.3702,6.3702,0.0
2022-04-19,6.3662,6.3954,6.366,6.3662,6.3662,0.0
2022-04-20,6.3924,6.4182,6.392,6.3924,6.3924,0.0
2022-04-21,6.4177,6.4507,6.4081,6.4177,6.4177,0.0
2022-04-22,6.4493,6.5057,6.4472,6.4493,6.4493,0.0
2022-04-25,6.5003,6.5763,6.5002,6.5003,6.5003,0.0
2022-04-26,6.5579,6.5596,6.5218,6.5579,6.5579,0.0
2022-04-27,6.5563,6.5621,6.541,6.5563,6.5563,0.0
2022-04-28,6.5595,6.6295,6.5595,6.5595,6.5595,0.0
2022-04-29,6.6253,6.6492,6.5806,6.6253,6.6253,0.0
2022-05-02,6.6075,6.6077,6.6069,6.6075,6.6075,0.0
2022-05-03,6.6075,6.6079,6.6069,6.6075,6.6075,0.0
2022-05-04,6.6074,6.6075,6.6073,6.6074,6.6074,0.0
2022-05-05,6.6075,6.6547,6.595,6.6075,6.6075,0.0
2022-05-06,6.6546,6.6939,6.6545,6.6546,6.6546,0.0
2022-05-09,6.6656,6.7299,6.6655,6.6656,6.6656,0.0
2022-05-10,6.7298,6.7392,6.6904,6.7298,6.7298,0.0
2022-05-11,6.7336,6.7351,6.7095,6.7336,6.7336,0.0
2022-05-12,6.7207,6.7951,6.7188,6.7207,6.7207,0.0
2022-05-13,6.7859,6.8106,6.7693,6.7859,6.7859,0.0
2022-05-16,6.788,6.8015,6.7809,6.788,6.788,0.0
2022-05-17,6.7851,6.7852,6.716,6.7851,6.7851,0.0
2022-05-18,6.7362,6.7565,6.732,6.7362,6.7362,0.0
2022-05-19,6.7534,6.7674,6.7114,6.7534,6.7534,0.0
2022-05-20,6.7121,6.7305,6.6658,6.7121,6.7121,0.0
2022-05-23,6.692,6.6921,6.6456,6.692,6.692,0.0
2022-05-24,6.6498,6.6788,6.6492,6.6498,6.6498,0.0
2022-05-25,6.653,6.6967,6.6527,6.653,6.653,0.0
2022-05-26,6.6917,6.748,6.6906,6.6917,6.6917,0.0
2022-05-27,6.7378,6.7466,6.6878,6.7378,6.7378,0.0
2022-05-30,6.6976,6.6999,6.6452,6.6976,6.6976,0.0
2022-05-31,6.6603,6.674,6.6447,6.6603,6.6603,0.0
2022-06-01,6.6717,6.6978,6.6647,6.6717,6.6717,0.0
2022-06-02,6.6852,6.7049,6.6591,6.6852,6.6852,0.0
2022-06-03,6.6592,6.6596,6.6592,6.6592,6.6592,0.0
2022-06-06,6.6593,6.6593,6.6322,6.6593,6.6593,0.0
2022-06-07,6.6529,6.678,6.6528,6.6529,6.6529,0.0
2022-06-08,6.6697,6.6945,6.6618,6.6697,6.6697,0.0
2022-06-09,6.6827,6.6975,6.664,6.6827,6.6827,0.0
2022-06-10,6.6908,6.7163,6.678,6.6908,6.6908,0.0
2022-06-13,6.7079,6.7582,6.7076,6.7079,6.7079,0.0
2022-06-14,6.7535,6.7601,6.7126,6.7535,6.7535,0.0
2022-06-15,6.7395,6.74,6.7042,6.7395,6.7395,0.0
2022-06-16,6.7123,6.7164,6.6912,6.7123,6.7123,0.0
2022-06-17,6.7034,6.717,6.6897,6.7034,6.7034,0.0
