Date,Open,High,Low,Close,Adj Close,Volume,Amazon,Microsoft,Google,NASDAQ,NYSE,RUSSELL2000,ViX,USD/CNY,5yearTreasury,10yearTreasury
13/12/2022,149.5,149.970001,144.240005,145.470001,145.047607,93886200,92.489998,256.920013,95.849998,11256.80957,15562.54004,1832.359985,22.549999,6.9765,3.647,3.501
14/12/2022,145.350006,146.660004,141.160004,143.210007,142.794174,82291200,91.580002,257.220001,95.309998,11170.88965,15494.98047,1820.449951,21.139999,6.9434,3.654,3.503
15/12/2022,141.110001,141.800003,136.029999,136.5,136.103653,98931900,88.449997,249.009995,91.199997,10810.53027,15182.28027,1774.609985,22.83,6.9499,3.626,3.45
16/12/2022,136.690002,137.649994,133.729996,134.509995,134.119431,160156900,87.860001,244.690002,90.860001,10705.41016,15018.16992,1763.420044,22.620001,6.9722,3.617,3.482
19/12/2022,135.110001,135.199997,131.320007,132.369995,131.985626,79592600,84.919998,240.449997,89.150002,10546.03027,14938.03027,1738.579956,22.42,6.9721,3.711,3.581
20/12/2022,131.389999,133.25,129.889999,132.300003,131.915848,77432800,85.190002,241.800003,89.629997,10547.11035,15000.62012,1748.02002,21.48,6.9786,3.784,3.684
21/12/2022,132.979996,136.809998,132.75,135.449997,135.056702,85928000,86.769997,244.429993,90.25,10709.37012,15219.54981,1776.939941,20.07,6.9608,3.775,3.684
22/12/2022,134.350006,134.559998,130.300003,132.229996,131.846039,77852100,83.790001,238.190002,88.260002,10476.12012,15081.53027,1754.089966,21.969999,6.9806,3.787,3.669
23/12/2022,130.919998,132.419998,129.639999,131.860001,131.477127,63814900,85.25,238.729996,89.809998,10497.86035,15188.4502,1760.930054,20.870001,6.983,3.862,3.751
27/12/2022,131.380005,131.410004,128.720001,130.029999,129.652435,69007800,83.040001,236.960007,87.93,10353.23047,15218.25977,1749.52002,21.65,6.9612,3.963,3.86
28/12/2022,129.669998,131.029999,125.870003,126.040001,125.674019,85438400,81.82,234.529999,86.459999,10213.29004,15037.32031,1722.02002,22.139999,6.959,3.979,3.887
29/12/2022,127.989998,130.479996,127.730003,129.610001,129.233658,75703700,84.18,241.009995,88.949997,10478.08984,15241.20996,1766.25,21.440001,6.9776,3.955,3.835
30/12/2022,128.410004,129.949997,127.43,129.929993,129.552719,77034200,84,239.820007,88.730003,10466.48047,15184.30957,1761.25,21.67,6.9631,4,3.879
03/01/2023,130.279999,130.899994,124.169998,125.07,124.706833,112117500,85.82,239.580002,89.699997,10386.98047,15154.4502,1750.72998,22.9,6.8971,3.945,3.793
04/01/2023,126.889999,128.660004,125.080002,126.360001,125.993095,89113600,85.139999,229.100006,88.709999,10458.75977,15350.29981,1772.540039,22.01,6.9141,3.875,3.709
05/01/2023,127.129997,127.769997,124.760002,125.019997,124.656982,80962700,83.120003,222.309998,86.769997,10305.24023,15225.40039,1753.189941,22.459999,6.8878,3.91,3.72
06/01/2023,126.010002,130.289993,124.889999,129.619995,129.243622,87754700,86.080002,224.929993,88.160004,10569.29004,15539.74023,1792.800049,21.129999,6.8815,3.712,3.569
09/01/2023,130.470001,133.410004,129.889999,130.149994,129.772079,70790800,87.360001,227.119995,88.800003,10635.65039,15514.44043,1795.910034,21.969999,6.8374,3.651,3.517
10/01/2023,130.259995,131.259995,128.119995,130.729996,130.350403,63896200,89.870003,228.850006,89.239998,10742.62988,15608.16992,1822.650024,20.58,6.771,3.734,3.621
11/01/2023,131.25,133.509995,130.460007,133.490005,133.102386,69458900,95.089996,235.770004,92.260002,10931.66992,15749.08984,1844.050049,21.09,6.7774,3.67,3.554
12/01/2023,133.880005,134.259995,131.440002,133.410004,133.022614,71379600,95.269997,238.509995,91.910004,11001.09961,15859.54981,1876.060059,18.83,6.769,3.546,3.449
13/01/2023,132.029999,134.919998,131.660004,134.759995,134.368698,57809700,98.120003,239.229996,92.800003,11079.16016,15918.37012,1887.030029,18.35,6.7378,3.614,3.511
17/01/2023,134.830002,137.289993,134.130005,135.940002,135.545273,63646600,96.050003,240.350006,92.160004,11095.11035,15883.55957,1884.290039,19.360001,6.7325,3.607,3.535
18/01/2023,136.820007,138.610001,135.029999,135.210007,134.817398,69672800,95.459999,235.809998,91.779999,10957.00977,15649.12988,1854.359985,20.34,6.7724,3.433,3.375
19/01/2023,134.080002,136.25,133.770004,135.270004,134.877228,58280400,93.68,231.929993,93.910004,10852.26953,15569.62988,1836.349976,20.52,6.7471,3.485,3.397
20/01/2023,135.279999,138.020004,134.220001,137.869995,137.469666,80223600,97.25,240.220001,99.279999,11140.42969,15777.54981,1867.339966,19.85,6.7758,3.567,3.484
23/01/2023,138.119995,143.320007,137.899994,141.110001,140.700256,81760300,97.519997,242.580002,101.209999,11364.41016,15880.08984,1890.77002,19.809999,6.7826,3.625,3.525
24/01/2023,140.309998,143.160004,140.300003,142.529999,142.116135,66435100,96.32,242.039993,99.209999,11334.26953,15868.21973,1885.609985,19.200001,6.783,3.584,3.469
25/01/2023,140.889999,142.429993,138.809998,141.860001,141.448074,65799300,97.18,240.610001,96.730003,11313.36035,15889.26953,1890.319946,19.08,6.7835,3.561,3.462
26/01/2023,143.169998,144.25,141.899994,143.960007,143.541992,54105100,99.220001,248,99.160004,11512.41016,15985.87012,1903.060059,18.73,6.7829,3.588,3.493
27/01/2023,143.160004,147.229996,143.080002,145.929993,145.506256,70555800,102.239998,248.160004,100.709999,11621.70996,15962.58008,1911.459961,18.51,6.7825,3.621,3.518
30/01/2023,144.960007,145.550003,142.850006,143,142.584778,64015300,100.550003,242.710007,97.949997,11393.80957,15818.90039,1885.719971,19.940001,6.7824,3.683,3.551
31/01/2023,142.699997,144.339996,142.279999,144.289993,143.871017,65874500,103.129997,247.809998,99.870003,11584.54981,16036.38965,1931.939941,19.4,6.7478,3.638,3.529
01/02/2023,143.970001,146.610001,141.320007,145.429993,145.007706,77663600,105.150002,252.75,101.43,11816.32031,16121.25,1960.810059,17.870001,6.7536,3.495,3.397
02/02/2023,148.899994,151.179993,148.169998,150.820007,150.382065,118339000,112.910004,264.600006,108.800003,12200.82031,16122.58008,2001.219971,18.73,6.7408,3.483,3.396
03/02/2023,148.029999,157.380005,147.830002,154.5,154.051376,154357300,103.389999,258.350006,105.220001,12006.9502,15999.40039,1985.530029,18.33,6.7315,3.666,3.532
06/02/2023,152.570007,153.100006,150.779999,151.729996,151.289429,69858300,102.18,256.769989,103.470001,11887.4502,15895.36035,1957.719971,19.43,6.7742,3.814,3.634
07/02/2023,150.639999,155.229996,150.639999,154.649994,154.200943,83322600,102.110001,267.559998,108.040001,12113.79004,16021.62012,1972.609985,18.66,6.794,3.844,3.674
08/02/2023,153.880005,154.580002,151.169998,151.919998,151.478882,64120100,100.050003,266.730011,100,11910.51953,15934.71973,1942.599976,19.629999,6.7912,3.818,3.653
09/02/2023,153.779999,154.330002,150.419998,150.869995,150.431915,56007100,98.239998,263.619995,95.459999,11789.58008,15828.59961,1915.339966,20.709999,6.7882,3.882,3.683
10/02/2023,149.460007,151.339996,149.220001,151.009995,150.801407,57450700,97.610001,263.100006,94.860001,11718.12012,15910.69043,1918.810059,20.530001,6.7797,3.924,3.744
13/02/2023,150.949997,154.259995,150.919998,153.850006,153.637497,62199000,99.540001,271.320007,95,11891.79004,16052.25,1941.140015,20.34,6.8083,3.926,3.717
14/02/2023,152.119995,153.770004,150.860001,153.199997,152.988388,61707600,99.699997,272.170013,94.949997,11960.15039,16025.11035,1939.910034,18.91,6.8219,4.003,3.761
15/02/2023,153.110001,155.5,152.880005,155.330002,155.115448,65573800,101.160004,269.320007,97.099998,12070.58984,16016.08984,1960.969971,18.23,6.8259,4.04,3.809
16/02/2023,153.509995,156.330002,153.350006,153.710007,153.497696,68167900,98.150002,262.149994,95.779999,11855.83008,15873.78027,1942.209961,20.17,6.8519,4.048,3.843
17/02/2023,152.350006,153,150.850006,152.550003,152.339294,59144100,97.199997,258.059998,94.589996,11787.26953,15840.16016,1946.359985,20.02,6.8597,4.036,3.828
21/02/2023,150.199997,151.300003,148.410004,148.479996,148.274902,58867200,94.580002,252.669998,92.050003,11492.29981,15572.51953,1888.209961,22.870001,6.8541,4.175,3.955
22/02/2023,148.869995,149.949997,147.160004,148.910004,148.704315,51011300,95.790001,251.509995,91.800003,11507.07031,15530.83008,1894.680054,22.290001,6.8725,4.151,3.923
23/02/2023,150.089996,150.339996,147.240005,149.399994,149.193634,48394200,95.82,254.770004,91.07,11590.40039,15584.92969,1908.089966,21.139999,6.8913,4.105,3.879
24/02/2023,147.110001,147.190002,145.720001,146.710007,146.507355,55469600,93.5,249.220001,89.349998,11394.94043,15464.45996,1890.48999,21.67,6.907,4.21,3.949
27/02/2023,147.710007,149.169998,147.449997,147.919998,147.715683,44998500,93.760002,250.160004,90.099998,11466.98047,15492.92969,1896.27002,20.950001,6.955,4.173,3.922
28/02/2023,147.050003,149.080002,146.830002,147.410004,147.20639,50547000,94.230003,249.419998,90.300003,11455.54004,15428.96973,1896.98999,20.700001,6.9439,4.168,3.916
01/03/2023,146.830002,147.229996,145.009995,145.309998,145.109283,55479000,92.169998,246.270004,90.510002,11379.48047,15436.29981,1898.430054,20.58,6.9323,4.263,3.994
02/03/2023,144.380005,146.710007,143.899994,145.910004,145.708466,52238100,92.129997,251.110001,92.309998,11462.98047,15524.51953,1902.660034,19.59,6.868,4.325,4.073
03/03/2023,148.039993,151.110001,147.330002,151.029999,150.821381,70732300,94.900002,255.289993,94.019997,11689.00977,15721.05957,1928.26001,18.49,6.9138,4.253,3.964
06/03/2023,153.789993,156.300003,153.460007,153.830002,153.617523,87558000,93.75,256.869995,95.580002,11675.74023,15694.33984,1899.76001,18.610001,6.9068,4.271,3.983
07/03/2023,153.699997,154.029999,151.130005,151.600006,151.39061,56182000,93.550003,254.149994,94.169998,11530.33008,15439.01953,1878.719971,19.59,6.9294,4.315,3.975
08/03/2023,152.809998,153.470001,151.830002,152.869995,152.658844,47204800,93.919998,253.699997,94.650002,11576,15440.63965,1879.47998,19.110001,6.9614,4.336,3.976
09/03/2023,153.559998,154.539993,150.229996,150.589996,150.381989,53833600,92.25,252.320007,92.660004,11338.34961,15140.79004,1826.589966,22.610001,6.9503,4.221,3.925
10/03/2023,150.210007,150.940002,147.610001,148.5,148.294876,68572400,90.730003,248.589996,91.010002,11138.88965,14894.17969,1772.699951,24.799999,6.9636,3.954,3.695
13/03/2023,147.809998,153.139999,147.699997,150.470001,150.262161,84457100,92.43,253.919998,91.660004,11188.83984,14764.37012,1744.300049,26.52,6.9052,3.666,3.515
14/03/2023,151.279999,153.399994,150.100006,152.589996,152.379227,73695900,94.879997,260.790009,94.25,11428.15039,14944.74023,1776.890015,23.73,6.8446,3.798,3.638
15/03/2023,151.190002,153.25,149.919998,152.990005,152.778687,77167900,96.199997,265.440002,96.550003,11434.04981,14662.54981,1745.939941,26.139999,6.8705,3.578,3.492
16/03/2023,152.160004,156.460007,151.639999,155.850006,155.634735,76161100,100.040001,276.200012,101.07,11717.28027,14830.98047,1771.23999,22.99,6.9059,3.742,3.585
17/03/2023,156.080002,156.740005,154.279999,155,154.785904,98944600,98.949997,279.429993,102.459999,11630.50977,14599.04981,1725.890015,25.51,6.8975,3.466,3.395
20/03/2023,155.070007,157.820007,154.149994,157.399994,157.182587,73641400,97.709999,272.230011,101.93,11675.54004,14777.7002,1744.98999,24.15,6.8861,3.575,3.481
21/03/2023,157.320007,159.399994,156.539993,159.279999,159.059982,73938300,100.610001,273.779999,105.839996,11860.11035,14985.9502,1777.73999,21.379999,6.8777,3.746,3.606
